"filename", "language", "XML", "JSON with Comments", "JavaScript", "CSS", "HTML", "vue", "Python", "JSON", "Markdown", "TypeScript", "comment", "blank", "total"
"/Users/mac/Desktop/Programming/第十六届服务外包创新大赛/DailyPlanExtension/HTML-crawling/main.py", "Python", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 5, 18
"/Users/mac/Desktop/Programming/第十六届服务外包创新大赛/DailyPlanExtension/assets/vue.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/mac/Desktop/Programming/第十六届服务外包创新大赛/DailyPlanExtension/components/AIResponse.vue", "vue", 0, 0, 0, 0, 0, 147, 0, 0, 0, 0, 3, 18, 168
"/Users/mac/Desktop/Programming/第十六届服务外包创新大赛/DailyPlanExtension/components/DetailSections.vue", "vue", 0, 0, 0, 0, 0, 147, 0, 0, 0, 0, 8, 14, 169
"/Users/mac/Desktop/Programming/第十六届服务外包创新大赛/DailyPlanExtension/components/PieChart.vue", "vue", 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 9, 86
"/Users/mac/Desktop/Programming/第十六届服务外包创新大赛/DailyPlanExtension/components/Test.vue", "vue", 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 17, 114
"/Users/mac/Desktop/Programming/第十六届服务外包创新大赛/DailyPlanExtension/components/Toast.vue", "vue", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 12, 69
"/Users/mac/Desktop/Programming/第十六届服务外包创新大赛/DailyPlanExtension/components/Welcome.vue", "vue", 0, 0, 0, 0, 0, 665, 0, 0, 0, 0, 1, 72, 738
"/Users/mac/Desktop/Programming/第十六届服务外包创新大赛/DailyPlanExtension/components/WelcomeOriginal.vue", "vue", 0, 0, 0, 0, 0, 561, 0, 0, 0, 0, 5, 62, 628
"/Users/mac/Desktop/Programming/第十六届服务外包创新大赛/DailyPlanExtension/docs/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 35, 122
"/Users/mac/Desktop/Programming/第十六届服务外包创新大赛/DailyPlanExtension/docs/website-activity-analysis.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 10, 46
